접수일,채취일,채취지역,접수번호,시료명,지역,TPH,Benzene,Toluene,Ethylbenzene,Xylene,Cd,Cu,As,Pb,Ni,Zn,Hg,Cr6+,F,CN,유기인,페놀류,PCB,TCE,PCE,B(a)P,"1,2-DCA",pH,완료기한,"실제완료일
(성적서 발급일자)","완료일
(유기분석)","완료일
(무기분석)","완료일
(일반분석)","특이사항
(비고)",발급일,성적서No.
2025-10-20,2025-10-15,울산,2025-D-0001-1,UJS-A001-01,2지역,,,,,,ND,10.3,5.01,11,20.4,56.8,ND,ND,,,,,,,,,,,2025-10-29,,,2025-10-29,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-2,UJS-A011-01,1지역,,,,,,ND,14.9,7.24,24.1,17.9,145.7,ND,ND,,,,,,,,,,,2025-10-29,,,2025-10-29,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-3,UJS-A014-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-4,UJS-A021-01,2지역,,,,,,,,,,,,,,,,,,ND,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-5,UJS-A022-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-6,UJS-A028-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-7,UJS-A029-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-8,UJS-A030-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-9,UJS-A031-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-10,UJS-A032-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-11,UJS-A033-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-12,UJS-A034-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-13,UJS-A036-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-14,UJS-A037-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-15,UJS-A038-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-16,UJS-A039-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-17,UJS-A040-01,2지역,,,,,,,,,,,,,,,,,,ND,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-18,UJS-A041-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-19,UJS-A042-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-20,UJS-A043-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-21,UJS-A045-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-22,UJS-A048-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-23,UJS-A049-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-24,UJS-A050-01,1지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-25,UJS-A051-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-26,UJS-A052-01,2지역,,,,,,,,,,,,,,,,,,ND,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-27,UJS-A053-01,3지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-28,UJS-A054-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-29,UJS-A056-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-30,UJS-A057-01,1지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-31,UJS-A058-01,1지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-32,UJS-A059-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-33,UJS-A064-01,1지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-34,UJS-A065-01,2지역,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,2025-10-29,,2025-10-29,,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-35,UJS-A066-01,2지역,,,,,,ND,21.5,3.37,36.3,22,131.5,ND,ND,,,,,,,,,,,2025-10-29,,,2025-10-29,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-36,UJS-A067-01,2지역,,,,,,ND,22.1,3.97,181.7,22.5,54,ND,ND,,,,,,,,,,,2025-10-29,,,2025-10-29,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-37,UJS-A074-01,1지역,,,,,,ND,25.8,ND,124.1,25,44.6,ND,ND,,,,,,,,,,,2025-10-29,,,2025-10-29,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-38,UJS-A075-01,1지역,,,,,,ND,43,7.04,210.2,23.9,50.7,ND,ND,,,,,,,,,,,2025-10-29,,,2025-10-29,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-39,UJS-A076-01,1지역,,,,,,ND,14.8,ND,23,16.8,33.9,ND,ND,,,,,,,,,,,2025-10-29,,,2025-10-29,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-40,UJS-A077-01,1지역,,,,,,ND,17.5,ND,52.4,17.3,44.7,ND,ND,,,,,,,,,,,2025-10-29,,,2025-10-29,,,,
2025-10-20,2025-10-15,울산,2025-D-0001-41,UJS-A078-01,1지역,,,,,,ND,61.6,6.98,172,27,57.1,ND,ND,,,,,,,,,,,2025-10-29,,,2025-10-29,,,,
2025-10-24,2025-10-21,울산,2025-D-0001-42,UJS-A002-01,2지역,,,,,,ND,10,4.47,11.7,18.1,46.7,ND,0.8,,,,,,,,,,,2025-11-04,,,2025-11-03,,,,
2025-10-24,2025-10-21,울산,2025-D-0001-43,UJS-A002-02,2지역,,,,,,ND,8.4,3.16,11,19.4,41.9,ND,ND,,,,,,,,,,,2025-11-04,,,2025-11-03,,,,
2025-10-24,2025-10-21,울산,2025-D-0001-44,UJS-A002-03,2지역,,,,,,ND,6.4,1.55,9.7,24.1,38.5,ND,ND,,,,,,,,,,,2025-11-04,,,2025-11-03,,,,
2025-10-24,2025-10-21,울산,2025-D-0001-45,UJS-A002-04,2지역,,,,,,ND,6.7,3.76,8,24.2,42.6,ND,ND,,,,,,,,,,,2025-11-04,,,2025-11-03,,,,
2025-10-24,2025-10-21,울산,2025-D-0001-46,UJS-A002-05,2지역,,,,,,ND,8.1,ND,10.8,13.4,37.2,ND,0.6,,,,,,,,,,,2025-11-04,,,2025-11-03,,,,
2025-10-24,2025-10-21,울산,2025-D-0001-47,UJS-A002-06,2지역,,,,,,ND,8.6,4.44,12.5,18.6,42.6,ND,ND,,,,,,,,,,,2025-11-04,,,2025-11-03,,,,
2025-10-24,2025-10-21,울산,2025-D-0001-48,UJS-A003-01,2지역,,,,,,ND,11.1,4.54,12.3,15.4,43.4,ND,ND,,,,,,,,,,,2025-11-04,,,2025-11-03,,,,
